"","A","B","C","D"
"134",1,0,0,0
"135",1,0,0,0
"136",1,0,0,0
"137",1,0,0,0
"138",1,0,0,0
"139",1,0,0,0
"140",1,0,0,0
"141",1,0,0,0
"142",1,0,0,0
"143",1,0,0,0
"144",1,0,0,0
"145",1,0,0,0
"146",1,0,0,0
"147",1,0,0,0
"148",1,0,0,0
"149",1,0,0,0
"150",1,0,0,0
"151",1,0,0,0
"152",1,0,0,0
"153",1,0,0,0
"154",1,0,0,0
"155",1,0,0,0
"156",1,0,0,0
"157",1,0,0,0
"158",1,0,0,0
"159",1,0,0,0
"160",1,0,0,0
"161",1,0,0,0
"162",1,0,0,0
"163",1,0,0,0
"164",1,0,0,0
"165",1,0,0,0
"166",1,0,0,0
"167",1,0,0,0
"168",1,0,0,0
"169",1,0,0,0
"170",1,0,0,0
"171",1,0,0,0
"172",1,0,0,0
"173",1,0,0,0
"174",1,0,0,0
"175",1,0,0,0
"176",1,0,0,0
"177",1,0,0,0
"178",1,0,0,0
"179",1,0,0,0
"180",1,0,0,0
"181",1,0,0,0
"182",1,0,0,0
"183",1,0,0,0
"184",1,0,0,0
"185",1,0,0,0
"186",1,0,0,0
"187",1,0,0,0
"188",1,0,0,0
"189",1,0,0,0
"190",1,0,0,0
"191",1,0,0,0
"192",1,0,0,0
"193",1,0,0,0
"194",1,0,0,0
"195",1,0,0,0
"196",1,0,0,0
"197",1,0,0,0
"198",1,0,0,0
"199",1,0,0,0
"200",1,0,0,0
"201",1,0,0,0
"202",1,0,0,0
"203",1,0,0,0
"204",1,0,0,0
"205",1,0,0,0
"206",1,0,0,0
"207",1,0,0,0
"208",1,0,0,0
"209",1,0,0,0
"210",1,0,0,0
"211",1,0,0,0
"212",1,0,0,0
"213",1,0,0,0
"214",1,0,0,0
"215",1,0,0,0
"216",1,0,0,0
"217",1,0,0,0
"218",1,0,0,0
"219",1,0,0,0
"220",1,0,0,0
"221",1,0,0,0
"222",1,0,0,0
"223",1,0,0,0
"224",1,0,0,0
"225",1,0,0,0
"226",1,0,0,0
"227",1,0,0,0
"228",1,0,0,0
"229",1,0,0,0
"230",1,0,0,0
"231",1,0,0,0
"232",1,0,0,0
"233",1,0,0,0
"234",1,0,0,0
"235",1,0,0,0
"236",1,0,0,0
"237",1,0,0,0
"238",1,0,0,0
"239",1,0,0,0
"240",1,0,0,0
"241",1,0,0,0
"242",1,0,0,0
"243",1,0,0,0
"244",1,0,0,0
"245",1,0,0,0
"246",1,0,0,0
"247",1,0,0,0
"248",1,0,0,0
"249",1,0,0,0
"250",1,0,0,0
"251",1,0,0,0
"252",1,0,0,0
"253",1,0,0,0
"254",1,0,0,0
"255",1,0,0,0
"256",1,0,0,0
"257",1,0,0,0
"258",1,0,0,0
"259",1,0,0,0
"260",1,0,0,0
"261",1,0,0,0
"262",1,0,0,0
"263",1,0,0,0
"264",1,0,0,0
"265",1,0,0,0
"266",1,0,0,0
"267",1,0,0,0
"268",1,0,0,0
"269",1,0,0,0
"270",1,0,0,0
"271",1,0,0,0
"272",1,0,0,0
"273",1,0,0,0
"274",1,0,0,0
"275",1,0,0,0
"276",1,0,0,0
"277",1,0,0,0
"278",1,0,0,0
"279",1,0,0,0
"280",1,0,0,0
"281",1,0,0,0
"282",1,0,0,0
"283",1,0,0,0
"284",1,0,0,0
"285",1,0,0,0
"286",1,0,0,0
"287",1,0,0,0
"288",1,0,0,0
"289",1,0,0,0
"290",1,0,0,0
"291",1,0,0,0
"292",1,0,0,0
"293",1,0,0,0
"294",1,0,0,0
"295",1,0,0,0
"296",1,0,0,0
"297",1,0,0,0
"298",1,0,0,0
"299",1,0,0,0
"300",1,0,0,0
"301",0,1,0,0
"302",0,1,0,0
"303",0,1,0,0
"304",0,1,0,0
"305",0,1,0,0
"306",0,1,0,0
"307",0,1,0,0
"308",0,1,0,0
"309",0,1,0,0
"310",0,1,0,0
"311",0,1,0,0
"312",0,1,0,0
"313",0,1,0,0
"314",0,1,0,0
"315",0,1,0,0
"316",0,1,0,0
"317",0,1,0,0
"318",0,1,0,0
"319",0,1,0,0
"320",0,1,0,0
"321",0,1,0,0
"322",0,1,0,0
"323",0,1,0,0
"324",0,1,0,0
"325",0,1,0,0
"326",0,1,0,0
"327",0,1,0,0
"328",0,1,0,0
"329",0,1,0,0
"330",0,1,0,0
"331",0,1,0,0
"332",0,1,0,0
"333",0,1,0,0
"334",0,1,0,0
"335",0,1,0,0
"336",0,1,0,0
"337",0,1,0,0
"338",0,1,0,0
"339",0,1,0,0
"340",0,1,0,0
"341",0,1,0,0
"342",0,1,0,0
"343",0,1,0,0
"344",0,1,0,0
"345",0,1,0,0
"346",0,1,0,0
"347",0,1,0,0
"348",0,1,0,0
"349",0,1,0,0
"350",0,1,0,0
"351",0,1,0,0
"352",0,1,0,0
"353",0,1,0,0
"354",0,1,0,0
"355",0,1,0,0
"356",0,1,0,0
"357",0,1,0,0
"358",0,1,0,0
"359",0,1,0,0
"360",0,1,0,0
"361",0,1,0,0
"362",0,1,0,0
"363",0,1,0,0
"364",0,1,0,0
"365",0,1,0,0
"366",0,1,0,0
"367",0,1,0,0
"368",0,1,0,0
"369",0,1,0,0
"370",0,1,0,0
"371",0,1,0,0
"372",0,1,0,0
"373",0,1,0,0
"374",0,1,0,0
"375",0,1,0,0
"376",0,1,0,0
"377",0,1,0,0
"378",0,1,0,0
"379",0,1,0,0
"380",0,1,0,0
"381",0,1,0,0
"382",0,1,0,0
"383",0,1,0,0
"384",0,1,0,0
"385",0,1,0,0
"386",0,1,0,0
"387",0,1,0,0
"388",0,1,0,0
"389",0,1,0,0
"390",0,1,0,0
"391",0,1,0,0
"392",0,1,0,0
"393",0,1,0,0
"394",0,1,0,0
"395",0,1,0,0
"396",0,1,0,0
"397",0,1,0,0
"398",0,1,0,0
"399",0,1,0,0
"400",0,1,0,0
"401",0,1,0,0
"402",0,1,0,0
"403",0,1,0,0
"404",0,1,0,0
"405",0,1,0,0
"406",0,1,0,0
"407",0,1,0,0
"408",0,1,0,0
"409",0,1,0,0
"410",0,1,0,0
"411",0,1,0,0
"412",0,1,0,0
"413",0,1,0,0
"414",0,1,0,0
"415",0,1,0,0
"416",0,1,0,0
"417",0,1,0,0
"418",0,1,0,0
"419",0,1,0,0
"420",0,1,0,0
"421",0,1,0,0
"422",0,1,0,0
"423",0,1,0,0
"424",0,1,0,0
"425",0,1,0,0
"426",0,1,0,0
"427",0,1,0,0
"428",0,1,0,0
"429",0,1,0,0
"430",0,1,0,0
"431",0,1,0,0
"432",0,1,0,0
"433",0,1,0,0
"434",0,1,0,0
"435",0,1,0,0
"436",0,1,0,0
"437",0,1,0,0
"438",0,1,0,0
"439",0,1,0,0
"440",0,1,0,0
"441",0,1,0,0
"442",0,1,0,0
"443",0,1,0,0
"444",0,1,0,0
"445",0,1,0,0
"446",0,1,0,0
"447",0,1,0,0
"448",0,1,0,0
"449",0,1,0,0
"450",0,1,0,0
"451",0,1,0,0
"452",0,1,0,0
"453",0,1,0,0
"454",0,1,0,0
"455",0,1,0,0
"456",0,1,0,0
"457",0,1,0,0
"458",0,1,0,0
"459",0,1,0,0
"460",0,1,0,0
"461",0,1,0,0
"462",0,1,0,0
"463",0,1,0,0
"464",0,1,0,0
"465",0,1,0,0
"466",0,1,0,0
"467",0,1,0,0
"468",0,1,0,0
"469",0,1,0,0
"470",0,1,0,0
"471",0,1,0,0
"472",0,1,0,0
"473",0,1,0,0
"474",0,1,0,0
"475",0,1,0,0
"476",0,1,0,0
"477",0,1,0,0
"478",0,1,0,0
"479",0,1,0,0
"480",0,1,0,0
"481",0,1,0,0
"482",0,1,0,0
"483",0,1,0,0
"484",0,1,0,0
"485",0,1,0,0
"486",0,1,0,0
"487",0,1,0,0
"488",0,1,0,0
"489",0,1,0,0
"490",0,1,0,0
"491",0,1,0,0
"492",0,1,0,0
"493",0,1,0,0
"494",0,1,0,0
"495",0,1,0,0
"496",0,1,0,0
"497",0,1,0,0
"498",0,1,0,0
"499",0,1,0,0
"500",0,1,0,0
"501",0,1,0,0
"502",0,1,0,0
"503",0,1,0,0
"504",0,1,0,0
"505",0,1,0,0
"506",0,1,0,0
"507",0,1,0,0
"508",0,1,0,0
"509",0,1,0,0
"510",0,1,0,0
"511",0,1,0,0
"512",0,1,0,0
"513",0,1,0,0
"514",0,1,0,0
"515",0,1,0,0
"516",0,1,0,0
"517",0,1,0,0
"518",0,1,0,0
"519",0,1,0,0
"520",0,1,0,0
"521",0,1,0,0
"522",0,1,0,0
"523",0,1,0,0
"524",0,1,0,0
"525",0,1,0,0
"526",0,1,0,0
"527",0,1,0,0
"528",0,1,0,0
"529",0,1,0,0
"530",0,1,0,0
"531",0,1,0,0
"532",0,1,0,0
"533",0,1,0,0
"534",0,1,0,0
"535",0,1,0,0
"536",0,1,0,0
"537",0,1,0,0
"538",0,1,0,0
"539",0,1,0,0
"540",0,1,0,0
"541",0,1,0,0
"542",0,1,0,0
"543",0,1,0,0
"544",0,1,0,0
"545",0,1,0,0
"546",0,1,0,0
"547",0,1,0,0
"548",0,1,0,0
"549",0,1,0,0
"550",0,1,0,0
"551",0,1,0,0
"552",0,1,0,0
"553",0,1,0,0
"554",0,1,0,0
"555",0,1,0,0
"556",0,1,0,0
"557",0,1,0,0
"558",0,1,0,0
"559",0,1,0,0
"560",0,1,0,0
"561",0,1,0,0
"562",0,1,0,0
"563",0,1,0,0
"564",0,1,0,0
"565",0,1,0,0
"566",0,1,0,0
"567",0,1,0,0
"568",0,1,0,0
"569",0,1,0,0
"570",0,1,0,0
"571",0,1,0,0
"572",0,1,0,0
"573",0,1,0,0
"574",0,1,0,0
"575",0,1,0,0
"576",0,1,0,0
"577",0,1,0,0
"578",0,1,0,0
"579",0,1,0,0
"580",0,1,0,0
"581",0,1,0,0
"582",0,1,0,0
"583",0,1,0,0
"584",0,1,0,0
"585",0,1,0,0
"586",0,1,0,0
"587",0,1,0,0
"588",0,1,0,0
"589",0,1,0,0
"590",0,1,0,0
"591",0,1,0,0
"592",0,1,0,0
"593",0,1,0,0
"594",0,1,0,0
"595",0,1,0,0
"596",0,1,0,0
"597",0,1,0,0
"598",0,1,0,0
"599",0,1,0,0
"600",0,1,0,0
"601",0,0,1,0
"602",0,0,1,0
"603",0,0,1,0
"604",0,0,1,0
"605",0,0,1,0
"606",0,0,1,0
"607",0,0,1,0
"608",0,0,1,0
"609",0,0,1,0
"610",0,0,1,0
"611",0,0,1,0
"612",0,0,1,0
"613",0,0,1,0
"614",0,0,1,0
"615",0,0,1,0
"616",0,0,1,0
"617",0,0,1,0
"618",0,0,1,0
"619",0,0,1,0
"620",0,0,1,0
"621",0,0,1,0
"622",0,0,1,0
"623",0,0,1,0
"624",0,0,1,0
"625",0,0,1,0
"626",0,0,1,0
"627",0,0,1,0
"628",0,0,1,0
"629",0,0,1,0
"630",0,0,1,0
"631",0,0,1,0
"632",0,0,1,0
"633",0,0,1,0
"634",0,0,1,0
"635",0,0,1,0
"636",0,0,1,0
"637",0,0,1,0
"638",0,0,1,0
"639",0,0,1,0
"640",0,0,1,0
"641",0,0,1,0
"642",0,0,1,0
"643",0,0,1,0
"644",0,0,1,0
"645",0,0,1,0
"646",0,0,1,0
"647",0,0,1,0
"648",0,0,1,0
"649",0,0,1,0
"650",0,0,1,0
"651",0,0,1,0
"652",0,0,1,0
"653",0,0,1,0
"654",0,0,1,0
"655",0,0,1,0
"656",0,0,1,0
"657",0,0,1,0
"658",0,0,1,0
"659",0,0,1,0
"660",0,0,1,0
"661",0,0,1,0
"662",0,0,1,0
"663",0,0,1,0
"664",0,0,1,0
"665",0,0,1,0
"666",0,0,1,0
"667",0,0,1,0
"668",0,0,1,0
"669",0,0,1,0
"670",0,0,1,0
"671",0,0,1,0
"672",0,0,1,0
"673",0,0,1,0
"674",0,0,1,0
"675",0,0,1,0
"676",0,0,1,0
"677",0,0,1,0
"678",0,0,1,0
"679",0,0,1,0
"680",0,0,1,0
"681",0,0,1,0
"682",0,0,1,0
"683",0,0,1,0
"684",0,0,1,0
"685",0,0,1,0
"686",0,0,1,0
"687",0,0,1,0
"688",0,0,1,0
"689",0,0,1,0
"690",0,0,1,0
"691",0,0,1,0
"692",0,0,1,0
"693",0,0,1,0
"694",0,0,1,0
"695",0,0,1,0
"696",0,0,1,0
"697",0,0,1,0
"698",0,0,1,0
"699",0,0,1,0
"700",0,0,1,0
"701",0,0,1,0
"702",0,0,1,0
"703",0,0,1,0
"704",0,0,1,0
"705",0,0,1,0
"706",0,0,1,0
"707",0,0,1,0
"708",0,0,1,0
"709",0,0,1,0
"710",0,0,1,0
"711",0,0,1,0
"712",0,0,1,0
"713",0,0,1,0
"714",0,0,1,0
"715",0,0,1,0
"716",0,0,1,0
"717",0,0,1,0
"718",0,0,1,0
"719",0,0,1,0
"720",0,0,1,0
"721",0,0,1,0
"722",0,0,1,0
"723",0,0,1,0
"724",0,0,1,0
"725",0,0,1,0
"726",0,0,1,0
"727",0,0,1,0
"728",0,0,1,0
"729",0,0,1,0
"730",0,0,1,0
"731",0,0,1,0
"732",0,0,1,0
"733",0,0,1,0
"734",0,0,1,0
"735",0,0,1,0
"736",0,0,1,0
"737",0,0,1,0
"738",0,0,1,0
"739",0,0,1,0
"740",0,0,1,0
"741",0,0,1,0
"742",0,0,1,0
"743",0,0,1,0
"744",0,0,1,0
"745",0,0,1,0
"746",0,0,1,0
"747",0,0,1,0
"748",0,0,1,0
"749",0,0,1,0
"750",0,0,1,0
"751",0,0,1,0
"752",0,0,1,0
"753",0,0,1,0
"754",0,0,1,0
"755",0,0,1,0
"756",0,0,1,0
"757",0,0,1,0
"758",0,0,1,0
"759",0,0,1,0
"760",0,0,1,0
"761",0,0,1,0
"762",0,0,1,0
"763",0,0,1,0
"764",0,0,1,0
"765",0,0,1,0
"766",0,0,1,0
"767",0,0,1,0
"768",0,0,1,0
"769",0,0,1,0
"770",0,0,1,0
"771",0,0,1,0
"772",0,0,1,0
"773",0,0,1,0
"774",0,0,1,0
"775",0,0,1,0
"776",0,0,1,0
"777",0,0,1,0
"778",0,0,1,0
"779",0,0,1,0
"780",0,0,1,0
"781",0,0,1,0
"782",0,0,1,0
"783",0,0,1,0
"784",0,0,1,0
"785",0,0,1,0
"786",0,0,1,0
"787",0,0,1,0
"788",0,0,1,0
"789",0,0,1,0
"790",0,0,1,0
"791",0,0,1,0
"792",0,0,1,0
"793",0,0,1,0
"794",0,0,1,0
"795",0,0,1,0
"796",0,0,1,0
"797",0,0,1,0
"798",0,0,1,0
"799",0,0,1,0
"800",0,0,1,0
"801",0,0,1,0
"802",0,0,1,0
"803",0,0,1,0
"804",0,0,1,0
"805",0,0,1,0
"806",0,0,1,0
"807",0,0,1,0
"808",0,0,1,0
"809",0,0,1,0
"810",0,0,1,0
"811",0,0,1,0
"812",0,0,1,0
"813",0,0,1,0
"814",0,0,1,0
"815",0,0,1,0
"816",0,0,1,0
"817",0,0,1,0
"818",0,0,1,0
"819",0,0,1,0
"820",0,0,1,0
"821",0,0,1,0
"822",0,0,1,0
"823",0,0,1,0
"824",0,0,1,0
"825",0,0,1,0
"826",0,0,1,0
"827",0,0,1,0
"828",0,0,1,0
"829",0,0,1,0
"830",0,0,1,0
"831",0,0,1,0
"832",0,0,1,0
"833",0,0,1,0
"834",0,0,1,0
"835",0,0,1,0
"836",0,0,1,0
"837",0,0,1,0
"838",0,0,1,0
"839",0,0,1,0
"840",0,0,1,0
"841",0,0,1,0
"842",0,0,1,0
"843",0,0,1,0
"844",0,0,1,0
"845",0,0,1,0
"846",0,0,1,0
"847",0,0,1,0
"848",0,0,1,0
"849",0,0,1,0
"850",0,0,1,0
"851",0,0,1,0
"852",0,0,1,0
"853",0,0,1,0
"854",0,0,1,0
"855",0,0,1,0
"856",0,0,1,0
"857",0,0,1,0
"858",0,0,1,0
"859",0,0,1,0
"860",0,0,1,0
"861",0,0,1,0
"862",0,0,1,0
"863",0,0,1,0
"864",0,0,1,0
"865",0,0,1,0
"866",0,0,1,0
"867",0,0,1,0
"868",0,0,1,0
"869",0,0,1,0
"870",0,0,1,0
"871",0,0,1,0
"872",0,0,1,0
"873",0,0,1,0
"874",0,0,1,0
"875",0,0,1,0
"876",0,0,1,0
"877",0,0,1,0
"878",0,0,1,0
"879",0,0,1,0
"880",0,0,1,0
"881",0,0,1,0
"882",0,0,1,0
"883",0,0,1,0
"884",0,0,1,0
"885",0,0,1,0
"886",0,0,1,0
"887",0,0,1,0
"888",0,0,1,0
"889",0,0,1,0
"890",0,0,1,0
"891",0,0,1,0
"892",0,0,1,0
"893",0,0,1,0
"894",0,0,1,0
"895",0,0,1,0
"896",0,0,1,0
"897",0,0,1,0
"898",0,0,1,0
"899",0,0,1,0
"900",0,0,1,0
"901",1,1,0,0
"902",1,1,0,0
"903",1,1,0,0
"904",1,1,0,0
"905",1,1,0,0
"906",1,1,0,0
"907",1,1,0,0
"908",1,1,0,0
"909",1,1,0,0
"910",1,1,0,0
"911",1,1,0,0
"912",1,1,0,0
"913",1,1,0,0
"914",1,1,0,0
"915",1,1,0,0
"916",1,1,0,0
"917",1,1,0,0
"918",1,1,0,0
"919",1,1,0,0
"920",1,1,0,0
"921",1,1,0,0
"922",1,1,0,0
"923",1,1,0,0
"924",1,1,0,0
"925",1,1,0,0
"926",1,1,0,0
"927",1,1,0,0
"928",1,1,0,0
"929",1,1,0,0
"930",1,1,0,0
"931",1,1,0,0
"932",1,1,0,0
"933",1,1,0,0
"934",1,1,0,0
"935",1,1,0,0
"936",1,1,0,0
"937",1,1,0,0
"938",1,1,0,0
"939",1,1,0,0
"940",1,1,0,0
"941",1,1,0,0
"942",1,1,0,0
"943",1,1,0,0
"944",1,1,0,0
"945",1,1,0,0
"946",1,1,0,0
"947",1,1,0,0
"948",1,1,0,0
"949",1,1,0,0
"950",1,1,0,0
"951",1,1,0,0
"952",1,1,0,0
"953",1,1,0,0
"954",1,1,0,0
"955",1,1,0,0
"956",1,1,0,0
"957",1,1,0,0
"958",1,1,0,0
"959",1,1,0,0
"960",1,1,0,0
"961",1,1,0,0
"962",1,1,0,0
"963",1,1,0,0
"964",1,1,0,0
"965",1,1,0,0
"966",1,1,0,0
"967",1,1,0,0
"968",1,1,0,0
"969",1,1,0,0
"970",1,1,0,0
"971",1,1,0,0
"972",1,1,0,0
"973",1,1,0,0
"974",1,1,0,0
"975",1,1,0,0
"976",1,1,0,0
"977",1,1,0,0
"978",1,1,0,0
"979",1,1,0,0
"980",1,1,0,0
"981",1,1,0,0
"982",1,1,0,0
"983",1,1,0,0
"984",1,1,0,0
"985",1,1,0,0
"986",1,1,0,0
"987",1,1,0,0
"988",1,1,0,0
"989",1,1,0,0
"990",1,1,0,0
"991",1,1,0,0
"992",1,1,0,0
"993",1,1,0,0
"994",1,1,0,0
"995",1,1,0,0
"996",1,1,0,0
"997",1,1,0,0
"998",1,1,0,0
"999",1,1,0,0
"1000",1,1,0,0
"1001",1,1,0,0
"1002",1,1,0,0
"1003",1,1,0,0
"1004",1,1,0,0
"1005",1,1,0,0
"1006",1,1,0,0
"1007",1,1,0,0
"1008",1,1,0,0
"1009",1,1,0,0
"1010",1,1,0,0
"1011",1,1,0,0
"1012",1,1,0,0
"1013",1,1,0,0
"1014",1,1,0,0
"1015",1,1,0,0
"1016",1,1,0,0
"1017",1,1,0,0
"1018",1,1,0,0
"1019",1,1,0,0
"1020",1,1,0,0
"1021",1,1,0,0
"1022",1,1,0,0
"1023",1,1,0,0
"1024",1,1,0,0
"1025",1,1,0,0
"1026",1,1,0,0
"1027",1,1,0,0
"1028",1,1,0,0
"1029",1,1,0,0
"1030",1,1,0,0
"1031",1,1,0,0
"1032",1,1,0,0
"1033",1,1,0,0
"1034",1,1,0,0
"1035",1,1,0,0
"1036",1,1,0,0
"1037",1,1,0,0
"1038",1,1,0,0
"1039",1,1,0,0
"1040",1,1,0,0
"1041",1,1,0,0
"1042",1,1,0,0
"1043",1,1,0,0
"1044",1,1,0,0
"1045",1,1,0,0
"1046",1,1,0,0
"1047",1,1,0,0
"1048",1,1,0,0
"1049",1,1,0,0
"1050",1,1,0,0
"1051",1,1,0,0
"1052",1,1,0,0
"1053",1,1,0,0
"1054",1,1,0,0
"1055",1,1,0,0
"1056",1,1,0,0
"1057",1,1,0,0
"1058",1,1,0,0
"1059",1,1,0,0
"1060",1,1,0,0
"1061",1,1,0,0
"1062",1,1,0,0
"1063",1,1,0,0
"1064",1,1,0,0
"1065",1,1,0,0
"1066",1,1,0,0
"1067",1,1,0,0
"1068",1,1,0,0
"1069",1,1,0,0
"1070",1,1,0,0
"1071",1,1,0,0
"1072",1,1,0,0
"1073",1,1,0,0
"1074",1,1,0,0
"1075",1,1,0,0
"1076",1,1,0,0
"1077",1,1,0,0
"1078",1,1,0,0
"1079",1,1,0,0
"1080",1,1,0,0
"1081",1,1,0,0
"1082",1,1,0,0
"1083",1,1,0,0
"1084",1,1,0,0
"1085",1,1,0,0
"1086",1,1,0,0
"1087",1,1,0,0
"1088",1,1,0,0
"1089",1,1,0,0
"1090",1,1,0,0
"1091",1,1,0,0
"1092",1,1,0,0
"1093",1,1,0,0
"1094",1,1,0,0
"1095",1,1,0,0
"1096",1,1,0,0
"1097",1,1,0,0
"1098",1,1,0,0
"1099",1,1,0,0
"1100",1,1,0,0
"1101",1,0,1,0
"1102",1,0,1,0
"1103",1,0,1,0
"1104",1,0,1,0
"1105",1,0,1,0
"1106",1,0,1,0
"1107",1,0,1,0
"1108",1,0,1,0
"1109",1,0,1,0
"1110",1,0,1,0
"1111",1,0,1,0
"1112",1,0,1,0
"1113",1,0,1,0
"1114",1,0,1,0
"1115",1,0,1,0
"1116",1,0,1,0
"1117",1,0,1,0
"1118",1,0,1,0
"1119",1,0,1,0
"1120",1,0,1,0
"1121",1,0,1,0
"1122",1,0,1,0
"1123",1,0,1,0
"1124",1,0,1,0
"1125",1,0,1,0
"1126",1,0,1,0
"1127",1,0,1,0
"1128",1,0,1,0
"1129",1,0,1,0
"1130",1,0,1,0
"1131",1,0,1,0
"1132",1,0,1,0
"1133",1,0,1,0
"1134",1,0,1,0
"1135",1,0,1,0
"1136",1,0,1,0
"1137",1,0,1,0
"1138",1,0,1,0
"1139",1,0,1,0
"1140",1,0,1,0
"1141",1,0,1,0
"1142",1,0,1,0
"1143",1,0,1,0
"1144",1,0,1,0
"1145",1,0,1,0
"1146",1,0,1,0
"1147",1,0,1,0
"1148",1,0,1,0
"1149",1,0,1,0
"1150",1,0,1,0
"1151",1,0,1,0
"1152",1,0,1,0
"1153",1,0,1,0
"1154",1,0,1,0
"1155",1,0,1,0
"1156",1,0,1,0
"1157",1,0,1,0
"1158",1,0,1,0
"1159",1,0,1,0
"1160",1,0,1,0
"1161",1,0,1,0
"1162",1,0,1,0
"1163",1,0,1,0
"1164",1,0,1,0
"1165",1,0,1,0
"1166",1,0,1,0
"1167",1,0,1,0
"1168",1,0,1,0
"1169",1,0,1,0
"1170",1,0,1,0
"1171",1,0,1,0
"1172",1,0,1,0
"1173",1,0,1,0
"1174",1,0,1,0
"1175",1,0,1,0
"1176",1,0,1,0
"1177",1,0,1,0
"1178",1,0,1,0
"1179",1,0,1,0
"1180",1,0,1,0
"1181",1,0,1,0
"1182",1,0,1,0
"1183",1,0,1,0
"1184",1,0,1,0
"1185",1,0,1,0
"1186",1,0,1,0
"1187",1,0,1,0
"1188",1,0,1,0
"1189",1,0,1,0
"1190",1,0,1,0
"1191",1,0,1,0
"1192",1,0,1,0
"1193",1,0,1,0
"1194",1,0,1,0
"1195",1,0,1,0
"1196",1,0,1,0
"1197",1,0,1,0
"1198",1,0,1,0
"1199",1,0,1,0
"1200",1,0,1,0
"1201",1,0,1,0
"1202",1,0,1,0
"1203",1,0,1,0
"1204",1,0,1,0
"1205",1,0,1,0
"1206",1,0,1,0
"1207",1,0,1,0
"1208",1,0,1,0
"1209",1,0,1,0
"1210",1,0,1,0
"1211",1,0,1,0
"1212",1,0,1,0
"1213",1,0,1,0
"1214",1,0,1,0
"1215",1,0,1,0
"1216",1,0,1,0
"1217",1,0,1,0
"1218",1,0,1,0
"1219",1,0,1,0
"1220",1,0,1,0
"1221",1,0,1,0
"1222",1,0,1,0
"1223",1,0,1,0
"1224",1,0,1,0
"1225",1,0,1,0
"1226",1,0,1,0
"1227",1,0,1,0
"1228",1,0,1,0
"1229",1,0,1,0
"1230",1,0,1,0
"1231",1,0,1,0
"1232",1,0,1,0
"1233",1,0,1,0
"1234",1,0,1,0
"1235",1,0,1,0
"1236",1,0,1,0
"1237",1,0,1,0
"1238",1,0,1,0
"1239",1,0,1,0
"1240",1,0,1,0
"1241",1,0,1,0
"1242",1,0,1,0
"1243",1,0,1,0
"1244",1,0,1,0
"1245",1,0,1,0
"1246",1,0,1,0
"1247",1,0,1,0
"1248",1,0,1,0
