"","A","B","C","D","E"
"130",1,0,0,0,0
"131",1,0,0,0,0
"132",1,0,0,0,0
"133",1,0,0,0,0
"134",1,0,0,0,0
"135",1,0,0,0,0
"136",1,0,0,0,0
"137",1,0,0,0,0
"138",1,0,0,0,0
"139",1,0,0,0,0
"140",1,0,0,0,0
"141",1,0,0,0,0
"142",1,0,0,0,0
"143",1,0,0,0,0
"144",1,0,0,0,0
"145",1,0,0,0,0
"146",1,0,0,0,0
"147",1,0,0,0,0
"148",1,0,0,0,0
"149",1,0,0,0,0
"150",1,0,0,0,0
"151",1,0,0,0,0
"152",1,0,0,0,0
"153",1,0,0,0,0
"154",1,0,0,0,0
"155",1,0,0,0,0
"156",1,0,0,0,0
"157",1,0,0,0,0
"158",1,0,0,0,0
"159",1,0,0,0,0
"160",1,0,0,0,0
"161",1,0,0,0,0
"162",1,0,0,0,0
"163",1,0,0,0,0
"164",1,0,0,0,0
"165",1,0,0,0,0
"166",1,0,0,0,0
"167",1,0,0,0,0
"168",1,0,0,0,0
"169",1,0,0,0,0
"170",1,0,0,0,0
"171",1,0,0,0,0
"172",1,0,0,0,0
"173",1,0,0,0,0
"174",1,0,0,0,0
"175",1,0,0,0,0
"176",1,0,0,0,0
"177",1,0,0,0,0
"178",1,0,0,0,0
"179",1,0,0,0,0
"180",1,0,0,0,0
"181",1,0,0,0,0
"182",1,0,0,0,0
"183",1,0,0,0,0
"184",1,0,0,0,0
"185",1,0,0,0,0
"186",1,0,0,0,0
"187",1,0,0,0,0
"188",1,0,0,0,0
"189",1,0,0,0,0
"190",1,0,0,0,0
"191",1,0,0,0,0
"192",1,0,0,0,0
"193",1,0,0,0,0
"194",1,0,0,0,0
"195",1,0,0,0,0
"196",1,0,0,0,0
"197",1,0,0,0,0
"198",1,0,0,0,0
"199",1,0,0,0,0
"200",1,0,0,0,0
"201",1,0,0,0,0
"202",1,0,0,0,0
"203",1,0,0,0,0
"204",1,0,0,0,0
"205",1,0,0,0,0
"206",1,0,0,0,0
"207",1,0,0,0,0
"208",1,0,0,0,0
"209",1,0,0,0,0
"210",1,0,0,0,0
"211",1,0,0,0,0
"212",1,0,0,0,0
"213",1,0,0,0,0
"214",1,0,0,0,0
"215",1,0,0,0,0
"216",1,0,0,0,0
"217",1,0,0,0,0
"218",1,0,0,0,0
"219",1,0,0,0,0
"220",1,0,0,0,0
"221",1,0,0,0,0
"222",1,0,0,0,0
"223",1,0,0,0,0
"224",1,0,0,0,0
"225",1,0,0,0,0
"226",1,0,0,0,0
"227",1,0,0,0,0
"228",1,0,0,0,0
"229",1,0,0,0,0
"230",1,0,0,0,0
"231",1,0,0,0,0
"232",1,0,0,0,0
"233",1,0,0,0,0
"234",1,0,0,0,0
"235",1,0,0,0,0
"236",1,0,0,0,0
"237",1,0,0,0,0
"238",1,0,0,0,0
"239",1,0,0,0,0
"240",1,0,0,0,0
"241",1,0,0,0,0
"242",1,0,0,0,0
"243",1,0,0,0,0
"244",1,0,0,0,0
"245",1,0,0,0,0
"246",1,0,0,0,0
"247",1,0,0,0,0
"248",1,0,0,0,0
"249",1,0,0,0,0
"250",1,0,0,0,0
"251",1,0,0,0,0
"252",1,0,0,0,0
"253",1,0,0,0,0
"254",1,0,0,0,0
"255",1,0,0,0,0
"256",1,0,0,0,0
"257",1,0,0,0,0
"258",1,0,0,0,0
"259",1,0,0,0,0
"260",1,0,0,0,0
"261",1,0,0,0,0
"262",1,0,0,0,0
"263",1,0,0,0,0
"264",1,0,0,0,0
"265",1,0,0,0,0
"266",1,0,0,0,0
"267",1,0,0,0,0
"268",1,0,0,0,0
"269",1,0,0,0,0
"270",1,0,0,0,0
"271",1,0,0,0,0
"272",1,0,0,0,0
"273",1,0,0,0,0
"274",1,0,0,0,0
"275",1,0,0,0,0
"276",1,0,0,0,0
"277",1,0,0,0,0
"278",1,0,0,0,0
"279",1,0,0,0,0
"280",1,0,0,0,0
"281",1,0,0,0,0
"282",1,0,0,0,0
"283",1,0,0,0,0
"284",1,0,0,0,0
"285",1,0,0,0,0
"286",1,0,0,0,0
"287",1,0,0,0,0
"288",1,0,0,0,0
"289",1,0,0,0,0
"290",1,0,0,0,0
"291",1,0,0,0,0
"292",1,0,0,0,0
"293",1,0,0,0,0
"294",1,0,0,0,0
"295",1,0,0,0,0
"296",1,0,0,0,0
"297",1,0,0,0,0
"298",1,0,0,0,0
"299",1,0,0,0,0
"300",1,0,0,0,0
"301",0,0,1,0,0
"302",0,0,1,0,0
"303",0,0,1,0,0
"304",0,0,1,0,0
"305",0,0,1,0,0
"306",0,0,1,0,0
"307",0,0,1,0,0
"308",0,0,1,0,0
"309",0,0,1,0,0
"310",0,0,1,0,0
"311",0,0,1,0,0
"312",0,0,1,0,0
"313",0,0,1,0,0
"314",0,0,1,0,0
"315",0,0,1,0,0
"316",0,0,1,0,0
"317",0,0,1,0,0
"318",0,0,1,0,0
"319",0,0,1,0,0
"320",0,0,1,0,0
"321",0,0,1,0,0
"322",0,0,1,0,0
"323",0,0,1,0,0
"324",0,0,1,0,0
"325",0,0,1,0,0
"326",0,0,1,0,0
"327",0,0,1,0,0
"328",0,0,1,0,0
"329",0,0,1,0,0
"330",0,0,1,0,0
"331",0,0,1,0,0
"332",0,0,1,0,0
"333",0,0,1,0,0
"334",0,0,1,0,0
"335",0,0,1,0,0
"336",0,0,1,0,0
"337",0,0,1,0,0
"338",0,0,1,0,0
"339",0,0,1,0,0
"340",0,0,1,0,0
"341",0,0,1,0,0
"342",0,0,1,0,0
"343",0,0,1,0,0
"344",0,0,1,0,0
"345",0,0,1,0,0
"346",0,0,1,0,0
"347",0,0,1,0,0
"348",0,0,1,0,0
"349",0,0,1,0,0
"350",0,0,1,0,0
"351",0,0,1,0,0
"352",0,0,1,0,0
"353",0,0,1,0,0
"354",0,0,1,0,0
"355",0,0,1,0,0
"356",0,0,1,0,0
"357",0,0,1,0,0
"358",0,0,1,0,0
"359",0,0,1,0,0
"360",0,0,1,0,0
"361",0,0,1,0,0
"362",0,0,1,0,0
"363",0,0,1,0,0
"364",0,0,1,0,0
"365",0,0,1,0,0
"366",0,0,1,0,0
"367",0,0,1,0,0
"368",0,0,1,0,0
"369",0,0,1,0,0
"370",0,0,1,0,0
"371",0,0,1,0,0
"372",0,0,1,0,0
"373",0,0,1,0,0
"374",0,0,1,0,0
"375",0,0,1,0,0
"376",0,0,1,0,0
"377",0,0,1,0,0
"378",0,0,1,0,0
"379",0,0,1,0,0
"380",0,0,1,0,0
"381",0,0,1,0,0
"382",0,0,1,0,0
"383",0,0,1,0,0
"384",0,0,1,0,0
"385",0,0,1,0,0
"386",0,0,1,0,0
"387",0,0,1,0,0
"388",0,0,1,0,0
"389",0,0,1,0,0
"390",0,0,1,0,0
"391",0,0,1,0,0
"392",0,0,1,0,0
"393",0,0,1,0,0
"394",0,0,1,0,0
"395",0,0,1,0,0
"396",0,0,1,0,0
"397",0,0,1,0,0
"398",0,0,1,0,0
"399",0,0,1,0,0
"400",0,0,1,0,0
"401",0,0,1,0,0
"402",0,0,1,0,0
"403",0,0,1,0,0
"404",0,0,1,0,0
"405",0,0,1,0,0
"406",0,0,1,0,0
"407",0,0,1,0,0
"408",0,0,1,0,0
"409",0,0,1,0,0
"410",0,0,1,0,0
"411",0,0,1,0,0
"412",0,0,1,0,0
"413",0,0,1,0,0
"414",0,0,1,0,0
"415",0,0,1,0,0
"416",0,0,1,0,0
"417",0,0,1,0,0
"418",0,0,1,0,0
"419",0,0,1,0,0
"420",0,0,1,0,0
"421",0,0,1,0,0
"422",0,0,1,0,0
"423",0,0,1,0,0
"424",0,0,1,0,0
"425",0,0,1,0,0
"426",0,0,1,0,0
"427",0,0,1,0,0
"428",0,0,1,0,0
"429",0,0,1,0,0
"430",0,0,1,0,0
"431",0,0,1,0,0
"432",0,0,1,0,0
"433",0,0,1,0,0
"434",0,0,1,0,0
"435",0,0,1,0,0
"436",0,0,1,0,0
"437",0,0,1,0,0
"438",0,0,1,0,0
"439",0,0,1,0,0
"440",0,0,1,0,0
"441",0,0,1,0,0
"442",0,0,1,0,0
"443",0,0,1,0,0
"444",0,0,1,0,0
"445",0,0,1,0,0
"446",0,0,1,0,0
"447",0,0,1,0,0
"448",0,0,1,0,0
"449",0,0,1,0,0
"450",0,0,1,0,0
"451",0,0,1,0,0
"452",0,0,1,0,0
"453",0,0,1,0,0
"454",0,0,1,0,0
"455",0,0,1,0,0
"456",0,0,1,0,0
"457",0,0,1,0,0
"458",0,0,1,0,0
"459",0,0,1,0,0
"460",0,0,1,0,0
"461",0,0,1,0,0
"462",0,0,1,0,0
"463",0,0,1,0,0
"464",0,0,1,0,0
"465",0,0,1,0,0
"466",0,0,1,0,0
"467",0,0,1,0,0
"468",0,0,1,0,0
"469",0,0,1,0,0
"470",0,0,1,0,0
"471",0,0,1,0,0
"472",0,0,1,0,0
"473",0,0,1,0,0
"474",0,0,1,0,0
"475",0,0,1,0,0
"476",0,0,1,0,0
"477",0,0,1,0,0
"478",0,0,1,0,0
"479",0,0,1,0,0
"480",0,0,1,0,0
"481",0,0,1,0,0
"482",0,0,1,0,0
"483",0,0,1,0,0
"484",0,0,1,0,0
"485",0,0,1,0,0
"486",0,0,1,0,0
"487",0,0,1,0,0
"488",0,0,1,0,0
"489",0,0,1,0,0
"490",0,0,1,0,0
"491",0,0,1,0,0
"492",0,0,1,0,0
"493",0,0,1,0,0
"494",0,0,1,0,0
"495",0,0,1,0,0
"496",0,0,1,0,0
"497",0,0,1,0,0
"498",0,0,1,0,0
"499",0,0,1,0,0
"500",0,0,1,0,0
"501",0,0,1,0,0
"502",0,0,1,0,0
"503",0,0,1,0,0
"504",0,0,1,0,0
"505",0,0,1,0,0
"506",0,0,1,0,0
"507",0,0,1,0,0
"508",0,0,1,0,0
"509",0,0,1,0,0
"510",0,0,1,0,0
"511",0,0,1,0,0
"512",0,0,1,0,0
"513",0,0,1,0,0
"514",0,0,1,0,0
"515",0,0,1,0,0
"516",0,0,1,0,0
"517",0,0,1,0,0
"518",0,0,1,0,0
"519",0,0,1,0,0
"520",0,0,1,0,0
"521",0,0,1,0,0
"522",0,0,1,0,0
"523",0,0,1,0,0
"524",0,0,1,0,0
"525",0,0,1,0,0
"526",0,0,1,0,0
"527",0,0,1,0,0
"528",0,0,1,0,0
"529",0,0,1,0,0
"530",0,0,1,0,0
"531",0,0,1,0,0
"532",0,0,1,0,0
"533",0,0,1,0,0
"534",0,0,1,0,0
"535",0,0,1,0,0
"536",0,0,1,0,0
"537",0,0,1,0,0
"538",0,0,1,0,0
"539",0,0,1,0,0
"540",0,0,1,0,0
"541",0,0,1,0,0
"542",0,0,1,0,0
"543",0,0,1,0,0
"544",0,0,1,0,0
"545",0,0,1,0,0
"546",0,0,1,0,0
"547",0,0,1,0,0
"548",0,0,1,0,0
"549",0,0,1,0,0
"550",0,0,1,0,0
"551",0,0,1,0,0
"552",0,0,1,0,0
"553",0,0,1,0,0
"554",0,0,1,0,0
"555",0,0,1,0,0
"556",0,0,1,0,0
"557",0,0,1,0,0
"558",0,0,1,0,0
"559",0,0,1,0,0
"560",0,0,1,0,0
"561",0,0,1,0,0
"562",0,0,1,0,0
"563",0,0,1,0,0
"564",0,0,1,0,0
"565",0,0,1,0,0
"566",0,0,1,0,0
"567",0,0,1,0,0
"568",0,0,1,0,0
"569",0,0,1,0,0
"570",0,0,1,0,0
"571",0,0,1,0,0
"572",0,0,1,0,0
"573",0,0,1,0,0
"574",0,0,1,0,0
"575",0,0,1,0,0
"576",0,0,1,0,0
"577",0,0,1,0,0
"578",0,0,1,0,0
"579",0,0,1,0,0
"580",0,0,1,0,0
"581",0,0,1,0,0
"582",0,0,1,0,0
"583",0,0,1,0,0
"584",0,0,1,0,0
"585",0,0,1,0,0
"586",0,0,1,0,0
"587",0,0,1,0,0
"588",0,0,1,0,0
"589",0,0,1,0,0
"590",0,0,1,0,0
"591",0,0,1,0,0
"592",0,0,1,0,0
"593",0,0,1,0,0
"594",0,0,1,0,0
"595",0,0,1,0,0
"596",0,0,1,0,0
"597",0,0,1,0,0
"598",0,0,1,0,0
"599",0,0,1,0,0
"600",0,0,1,0,0
"601",1,1,0,0,0
"602",1,1,0,0,0
"603",1,1,0,0,0
"604",1,1,0,0,0
"605",1,1,0,0,0
"606",1,1,0,0,0
"607",1,1,0,0,0
"608",1,1,0,0,0
"609",1,1,0,0,0
"610",1,1,0,0,0
"611",1,1,0,0,0
"612",1,1,0,0,0
"613",1,1,0,0,0
"614",1,1,0,0,0
"615",1,1,0,0,0
"616",1,1,0,0,0
"617",1,1,0,0,0
"618",1,1,0,0,0
"619",1,1,0,0,0
"620",1,1,0,0,0
"621",1,1,0,0,0
"622",1,1,0,0,0
"623",1,1,0,0,0
"624",1,1,0,0,0
"625",1,1,0,0,0
"626",1,1,0,0,0
"627",1,1,0,0,0
"628",1,1,0,0,0
"629",1,1,0,0,0
"630",1,1,0,0,0
"631",1,1,0,0,0
"632",1,1,0,0,0
"633",1,1,0,0,0
"634",1,1,0,0,0
"635",1,1,0,0,0
"636",1,1,0,0,0
"637",1,1,0,0,0
"638",1,1,0,0,0
"639",1,1,0,0,0
"640",1,1,0,0,0
"641",1,1,0,0,0
"642",1,1,0,0,0
"643",1,1,0,0,0
"644",1,1,0,0,0
"645",1,1,0,0,0
"646",1,1,0,0,0
"647",1,1,0,0,0
"648",1,1,0,0,0
"649",1,1,0,0,0
"650",1,1,0,0,0
"651",1,1,0,0,0
"652",1,1,0,0,0
"653",1,1,0,0,0
"654",1,1,0,0,0
"655",1,1,0,0,0
"656",1,1,0,0,0
"657",1,1,0,0,0
"658",1,1,0,0,0
"659",1,1,0,0,0
"660",1,1,0,0,0
"661",1,1,0,0,0
"662",1,1,0,0,0
"663",1,1,0,0,0
"664",1,1,0,0,0
"665",1,1,0,0,0
"666",1,1,0,0,0
"667",1,1,0,0,0
"668",1,1,0,0,0
"669",1,1,0,0,0
"670",1,1,0,0,0
"671",1,1,0,0,0
"672",1,1,0,0,0
"673",1,1,0,0,0
"674",1,1,0,0,0
"675",1,1,0,0,0
"676",1,1,0,0,0
"677",1,1,0,0,0
"678",1,1,0,0,0
"679",1,1,0,0,0
"680",1,1,0,0,0
"681",1,1,0,0,0
"682",1,1,0,0,0
"683",1,1,0,0,0
"684",1,1,0,0,0
"685",1,1,0,0,0
"686",1,1,0,0,0
"687",1,1,0,0,0
"688",1,1,0,0,0
"689",1,1,0,0,0
"690",1,1,0,0,0
"691",1,1,0,0,0
"692",1,1,0,0,0
"693",1,1,0,0,0
"694",1,1,0,0,0
"695",1,1,0,0,0
"696",1,1,0,0,0
"697",1,1,0,0,0
"698",1,1,0,0,0
"699",1,1,0,0,0
"700",1,1,0,0,0
"701",1,1,0,0,0
"702",1,1,0,0,0
"703",1,1,0,0,0
"704",1,1,0,0,0
"705",1,1,0,0,0
"706",1,1,0,0,0
"707",1,1,0,0,0
"708",1,1,0,0,0
"709",1,1,0,0,0
"710",1,1,0,0,0
"711",1,1,0,0,0
"712",1,1,0,0,0
"713",1,1,0,0,0
"714",1,1,0,0,0
"715",1,1,0,0,0
"716",1,1,0,0,0
"717",1,1,0,0,0
"718",1,1,0,0,0
"719",1,1,0,0,0
"720",1,1,0,0,0
"721",1,1,0,0,0
"722",1,1,0,0,0
"723",1,1,0,0,0
"724",1,1,0,0,0
"725",1,1,0,0,0
"726",1,1,0,0,0
"727",1,1,0,0,0
"728",1,1,0,0,0
"729",1,1,0,0,0
"730",1,1,0,0,0
"731",1,1,0,0,0
"732",1,1,0,0,0
"733",1,1,0,0,0
"734",1,1,0,0,0
"735",1,1,0,0,0
"736",1,1,0,0,0
"737",1,1,0,0,0
"738",1,1,0,0,0
"739",1,1,0,0,0
"740",1,1,0,0,0
"741",1,1,0,0,0
"742",1,1,0,0,0
"743",1,1,0,0,0
"744",1,1,0,0,0
"745",1,1,0,0,0
"746",1,1,0,0,0
"747",1,1,0,0,0
"748",1,1,0,0,0
"749",1,1,0,0,0
"750",1,1,0,0,0
"751",1,1,0,0,0
"752",1,1,0,0,0
"753",1,1,0,0,0
"754",1,1,0,0,0
"755",1,1,0,0,0
"756",1,1,0,0,0
"757",1,1,0,0,0
"758",1,1,0,0,0
"759",1,1,0,0,0
"760",1,1,0,0,0
"761",1,1,0,0,0
"762",1,1,0,0,0
"763",1,1,0,0,0
"764",1,1,0,0,0
"765",1,1,0,0,0
"766",1,1,0,0,0
"767",1,1,0,0,0
"768",1,1,0,0,0
"769",1,1,0,0,0
"770",1,1,0,0,0
"771",1,1,0,0,0
"772",1,1,0,0,0
"773",1,1,0,0,0
"774",1,1,0,0,0
"775",1,1,0,0,0
"776",1,1,0,0,0
"777",1,1,0,0,0
"778",1,1,0,0,0
"779",1,1,0,0,0
"780",1,1,0,0,0
"781",1,1,0,0,0
"782",1,1,0,0,0
"783",1,1,0,0,0
"784",1,1,0,0,0
"785",1,1,0,0,0
"786",1,1,0,0,0
"787",1,1,0,0,0
"788",1,1,0,0,0
"789",1,1,0,0,0
"790",1,1,0,0,0
"791",1,1,0,0,0
"792",1,1,0,0,0
"793",1,1,0,0,0
"794",1,1,0,0,0
"795",1,1,0,0,0
"796",1,1,0,0,0
"797",1,1,0,0,0
"798",1,1,0,0,0
"799",1,1,0,0,0
"800",1,1,0,0,0
"801",0,0,1,1,0
"802",0,0,1,1,0
"803",0,0,1,1,0
"804",0,0,1,1,0
"805",0,0,1,1,0
"806",0,0,1,1,0
"807",0,0,1,1,0
"808",0,0,1,1,0
"809",0,0,1,1,0
"810",0,0,1,1,0
"811",0,0,1,1,0
"812",0,0,1,1,0
"813",0,0,1,1,0
"814",0,0,1,1,0
"815",0,0,1,1,0
"816",0,0,1,1,0
"817",0,0,1,1,0
"818",0,0,1,1,0
"819",0,0,1,1,0
"820",0,0,1,1,0
"821",0,0,1,1,0
"822",0,0,1,1,0
"823",0,0,1,1,0
"824",0,0,1,1,0
"825",0,0,1,1,0
"826",0,0,1,1,0
"827",0,0,1,1,0
"828",0,0,1,1,0
"829",0,0,1,1,0
"830",0,0,1,1,0
"831",0,0,1,1,0
"832",0,0,1,1,0
"833",0,0,1,1,0
"834",0,0,1,1,0
"835",0,0,1,1,0
"836",0,0,1,1,0
"837",0,0,1,1,0
"838",0,0,1,1,0
"839",0,0,1,1,0
"840",0,0,1,1,0
"841",0,0,1,1,0
"842",0,0,1,1,0
"843",0,0,1,1,0
"844",0,0,1,1,0
"845",0,0,1,1,0
"846",0,0,1,1,0
"847",0,0,1,1,0
"848",0,0,1,1,0
"849",0,0,1,1,0
"850",0,0,1,1,0
"851",0,0,1,1,0
"852",0,0,1,1,0
"853",0,0,1,1,0
"854",0,0,1,1,0
"855",0,0,1,1,0
"856",0,0,1,1,0
"857",0,0,1,1,0
"858",0,0,1,1,0
"859",0,0,1,1,0
"860",0,0,1,1,0
"861",0,0,1,1,0
"862",0,0,1,1,0
"863",0,0,1,1,0
"864",0,0,1,1,0
"865",0,0,1,1,0
"866",0,0,1,1,0
"867",0,0,1,1,0
"868",0,0,1,1,0
"869",0,0,1,1,0
"870",0,0,1,1,0
"871",0,0,1,1,0
"872",0,0,1,1,0
"873",0,0,1,1,0
"874",0,0,1,1,0
"875",0,0,1,1,0
"876",0,0,1,1,0
"877",0,0,1,1,0
"878",0,0,1,1,0
"879",0,0,1,1,0
"880",0,0,1,1,0
"881",0,0,1,1,0
"882",0,0,1,1,0
"883",0,0,1,1,0
"884",0,0,1,1,0
"885",0,0,1,1,0
"886",0,0,1,1,0
"887",0,0,1,1,0
"888",0,0,1,1,0
"889",0,0,1,1,0
"890",0,0,1,1,0
"891",0,0,1,1,0
"892",0,0,1,1,0
"893",0,0,1,1,0
"894",0,0,1,1,0
"895",0,0,1,1,0
"896",0,0,1,1,0
"897",0,0,1,1,0
"898",0,0,1,1,0
"899",0,0,1,1,0
"900",0,0,1,1,0
"901",0,0,1,1,0
"902",0,0,1,1,0
"903",0,0,1,1,0
"904",0,0,1,1,0
"905",0,0,1,1,0
"906",0,0,1,1,0
"907",0,0,1,1,0
"908",0,0,1,1,0
"909",0,0,1,1,0
"910",0,0,1,1,0
"911",0,0,1,1,0
"912",0,0,1,1,0
"913",0,0,1,1,0
"914",0,0,1,1,0
"915",0,0,1,1,0
"916",0,0,1,1,0
"917",0,0,1,1,0
"918",0,0,1,1,0
"919",0,0,1,1,0
"920",0,0,1,1,0
"921",0,0,1,1,0
"922",0,0,1,1,0
"923",0,0,1,1,0
"924",0,0,1,1,0
"925",0,0,1,1,0
"926",0,0,1,1,0
"927",0,0,1,1,0
"928",0,0,1,1,0
"929",0,0,1,1,0
"930",0,0,1,1,0
"931",0,0,1,1,0
"932",0,0,1,1,0
"933",0,0,1,1,0
"934",0,0,1,1,0
"935",0,0,1,1,0
"936",0,0,1,1,0
"937",0,0,1,1,0
"938",0,0,1,1,0
"939",0,0,1,1,0
"940",0,0,1,1,0
"941",0,0,1,1,0
"942",0,0,1,1,0
"943",0,0,1,1,0
"944",0,0,1,1,0
"945",0,0,1,1,0
"946",0,0,1,1,0
"947",0,0,1,1,0
"948",0,0,1,1,0
"949",0,0,1,1,0
"950",0,0,1,1,0
"951",0,0,1,1,0
"952",0,0,1,1,0
"953",0,0,1,1,0
"954",0,0,1,1,0
"955",0,0,1,1,0
"956",0,0,1,1,0
"957",0,0,1,1,0
"958",0,0,1,1,0
"959",0,0,1,1,0
"960",0,0,1,1,0
"961",0,0,1,1,0
"962",0,0,1,1,0
"963",0,0,1,1,0
"964",0,0,1,1,0
"965",0,0,1,1,0
"966",0,0,1,1,0
"967",0,0,1,1,0
"968",0,0,1,1,0
"969",0,0,1,1,0
"970",0,0,1,1,0
"971",0,0,1,1,0
"972",0,0,1,1,0
"973",0,0,1,1,0
"974",0,0,1,1,0
"975",0,0,1,1,0
"976",0,0,1,1,0
"977",0,0,1,1,0
"978",0,0,1,1,0
"979",0,0,1,1,0
"980",0,0,1,1,0
"981",0,0,1,1,0
"982",0,0,1,1,0
"983",0,0,1,1,0
"984",0,0,1,1,0
"985",0,0,1,1,0
"986",0,0,1,1,0
"987",0,0,1,1,0
"988",0,0,1,1,0
"989",0,0,1,1,0
"990",0,0,1,1,0
"991",0,0,1,1,0
"992",0,0,1,1,0
"993",0,0,1,1,0
"994",0,0,1,1,0
"995",0,0,1,1,0
"996",0,0,1,1,0
"997",0,0,1,1,0
"998",0,0,1,1,0
"999",0,0,1,1,0
"1000",0,0,1,1,0
"1001",1,1,1,0,0
"1002",1,1,1,0,0
"1003",1,1,1,0,0
"1004",1,1,1,0,0
"1005",1,1,1,0,0
"1006",1,1,1,0,0
"1007",1,1,1,0,0
"1008",1,1,1,0,0
"1009",1,1,1,0,0
"1010",1,1,1,0,0
"1011",1,1,1,0,0
"1012",1,1,1,0,0
"1013",1,1,1,0,0
"1014",1,1,1,0,0
"1015",1,1,1,0,0
"1016",1,1,1,0,0
"1017",1,1,1,0,0
"1018",1,1,1,0,0
"1019",1,1,1,0,0
"1020",1,1,1,0,0
"1021",1,1,1,0,0
"1022",1,1,1,0,0
"1023",1,1,1,0,0
"1024",1,1,1,0,0
"1025",1,1,1,0,0
"1026",1,1,1,0,0
"1027",1,1,1,0,0
"1028",1,1,1,0,0
"1029",1,1,1,0,0
"1030",1,1,1,0,0
"1031",1,1,1,0,0
"1032",1,1,1,0,0
"1033",1,1,1,0,0
"1034",1,1,1,0,0
"1035",1,1,1,0,0
"1036",1,1,1,0,0
"1037",1,1,1,0,0
"1038",1,1,1,0,0
"1039",1,1,1,0,0
"1040",1,1,1,0,0
"1041",1,1,1,0,0
"1042",1,1,1,0,0
"1043",1,1,1,0,0
"1044",1,1,1,0,0
"1045",1,1,1,0,0
"1046",1,1,1,0,0
"1047",1,1,1,0,0
"1048",1,1,1,0,0
"1049",1,1,1,0,0
"1050",1,1,1,0,0
"1051",1,1,1,0,0
"1052",1,1,1,0,0
"1053",1,1,1,0,0
"1054",1,1,1,0,0
"1055",1,1,1,0,0
"1056",1,1,1,0,0
"1057",1,1,1,0,0
"1058",1,1,1,0,0
"1059",1,1,1,0,0
"1060",1,1,1,0,0
"1061",1,1,1,0,0
"1062",1,1,1,0,0
"1063",1,1,1,0,0
"1064",1,1,1,0,0
"1065",1,1,1,0,0
"1066",1,1,1,0,0
"1067",1,1,1,0,0
"1068",1,1,1,0,0
"1069",1,1,1,0,0
